,class,country,countrycode,dead_during_wave,population,si_integral_during_wave,t0_10_dead,tests_during_wave,wave,wave_end,wave_start,class_coarse,si_integral,last_dead_per_10k,last_tests_per_10k,first_date_si_above_threshold,first_date_c3_above_threshold,first_date_tests_above_threshold
246,4.0,Senegal,SEN,725.0,16296364.0,5967.295,2020-12-05,,2.0,2021-04-01,2020-11-08,EPI_SECOND_WAVE,18598.364999999998,0.6449291387943961,275.95480807866096,2020-03-23,2020-03-14,2020-05-06
247,2.0,Singapore,SGP,28.0,5703569.0,15603.214999999998,2020-04-15,,1.0,2020-11-21,2020-01-09,EPI_FIRST_WAVE,22198.444999999996,0.052598644813449266,,2020-04-08,2020-03-13,
248,1.0,Sierra Leone,SLE,68.0,7813215.0,14294.93,2020-05-06,,1.0,2021-04-01,2020-05-06,EPI_FIRST_WAVE,17516.315000000002,0.10111074634449455,,2020-04-05,2020-03-22,
249,4.0,El Salvador,SLV,796.0,6453553.0,17785.29,2020-05-02,354849.87096774194,1.0,2020-09-17,2020-01-09,EPI_SECOND_WAVE,27379.819999999996,3.1145634040659465,1304.6611688166192,2020-03-18,2020-03-21,2020-04-19
250,4.0,El Salvador,SLV,1214.0,6453553.0,9594.530000000002,2020-09-20,,2.0,2021-04-01,2020-09-17,EPI_SECOND_WAVE,27379.819999999996,3.1145634040659465,1304.6611688166192,2020-03-18,2020-03-21,2020-04-19
251,1.0,Somalia,SOM,515.0,15442905.0,12656.07,2020-04-22,,1.0,2021-04-01,2020-04-22,EPI_FIRST_WAVE,14584.404999999999,0.3425521299263319,,2020-04-11,2020-03-19,
252,6.0,Serbia,SRB,245.0,6944975.0,7176.470000000002,2020-03-29,257239.27272727274,1.0,2020-06-03,2020-01-09,EPI_THIRD_WAVE,23230.945,7.642936079683512,4930.821205259918,2020-03-16,2020-03-15,2020-04-05
253,6.0,Serbia,SRB,486.0,6944975.0,4746.415000000001,2020-06-16,770816.0,2.0,2020-09-13,2020-06-03,EPI_THIRD_WAVE,23230.945,7.642936079683512,4930.821205259918,2020-03-16,2020-03-15,2020-04-05
254,6.0,Serbia,SRB,3118.0,6944975.0,7490.0650000000005,2020-09-21,1508890.0,3.0,2021-01-23,2020-09-13,EPI_THIRD_WAVE,23230.945,7.642936079683512,4930.821205259918,2020-03-16,2020-03-15,2020-04-05
255,4.0,South Sudan,SSD,47.0,11062113.0,10050.775000000001,2020-05-29,,1.0,2020-08-22,2020-04-21,EPI_SECOND_WAVE,25253.429999999997,0.10124647976385705,119.54858895402714,2020-03-25,2020-03-16,2020-09-03
256,4.0,South Sudan,SSD,61.0,11062113.0,12297.460000000001,2020-10-29,,2.0,2021-03-28,2020-08-22,EPI_SECOND_WAVE,25253.429999999997,0.10124647976385705,119.54858895402714,2020-03-25,2020-03-16,2020-09-03
257,4.0,Suriname,SUR,116.0,581372.0,16882.28,2020-06-26,,1.0,2020-12-10,2020-04-29,EPI_SECOND_WAVE,27603.995000000003,3.0445222680142834,,2020-03-28,2020-03-13,
258,4.0,Suriname,SUR,60.0,581372.0,7432.250000000001,2021-01-09,,2.0,2021-04-01,2020-12-10,EPI_SECOND_WAVE,27603.995000000003,3.0445222680142834,,2020-03-28,2020-03-13,
259,3.0,Slovakia,SVK,28.0,5454073.0,6736.739999999999,2020-04-20,191935.0,1.0,2020-06-09,2020-01-09,EPI_SECOND_WAVE,23042.195,17.949888092806972,47277.92605636192,2020-03-14,2020-03-10,2020-03-26
260,3.0,Slovakia,SVK,9762.0,5454073.0,16305.455,2020-09-14,,2.0,2021-04-01,2020-06-09,EPI_SECOND_WAVE,23042.195,17.949888092806972,47277.92605636192,2020-03-14,2020-03-10,2020-03-26
261,2.0,Slovenia,SVN,2021.0,2087946.0,14598.739999999998,2020-03-29,555859.0,1.0,2020-12-09,2020-03-29,EPI_FIRST_WAVE,23609.195,20.95839643362424,5098.781290320727,2020-03-19,2020-03-19,2020-03-11
262,6.0,Sweden,SWE,21.0,10285453.0,351.40999999999997,2020-03-20,,1.0,2020-03-21,2020-02-17,EPI_THIRD_WAVE,23815.760000000002,13.233252828047535,,2020-04-04,2020-03-12,
263,6.0,Sweden,SWE,5811.0,10285453.0,10111.380000000003,2020-03-23,,2.0,2020-09-04,2020-03-21,EPI_THIRD_WAVE,23815.760000000002,13.233252828047535,,2020-04-04,2020-03-12,
264,6.0,Sweden,SWE,6764.0,10285453.0,9952.26,2020-09-12,,3.0,2021-02-11,2020-09-04,EPI_THIRD_WAVE,23815.760000000002,13.233252828047535,,2020-04-04,2020-03-12,
265,4.0,Swaziland,SWZ,117.0,1148130.0,15920.849999999999,2020-06-29,,1.0,2020-11-03,2020-04-05,EPI_SECOND_WAVE,26967.255,5.809446665447292,,2020-03-27,2020-03-17,
266,4.0,Swaziland,SWZ,550.0,1148130.0,9246.849999999999,2020-12-13,,2.0,2021-04-01,2020-11-03,EPI_SECOND_WAVE,26967.255,5.809446665447292,,2020-03-27,2020-03-17,
267,3.0,Seychelles,SYC,14.0,97625.0,6418.820000000001,2021-02-18,,1.0,2021-03-11,2020-11-10,EPI_SECOND_WAVE,17882.06,2.151088348271447,,2020-04-08,2020-03-22,
268,3.0,Seychelles,SYC,7.0,97625.0,1393.49,,,2.0,2021-04-01,2021-03-11,EPI_SECOND_WAVE,17882.06,2.151088348271447,,2020-04-08,2020-03-22,
269,1.0,Syria,SYR,1255.0,17070135.0,13025.350000000002,2020-07-04,,1.0,2021-04-01,2020-07-04,EPI_FIRST_WAVE,21999.030000000002,0.7410603372498226,,2020-03-16,2020-03-16,
270,1.0,Chad,TCD,154.0,15946876.0,20937.340000000004,2020-05-03,,1.0,2021-04-01,2020-05-03,EPI_FIRST_WAVE,23712.385000000002,0.10284145935542485,,2020-04-13,2020-04-13,
271,1.0,Togo,TGO,99.0,8082366.0,17875.96,2020-05-09,264698.0,1.0,2021-04-01,2020-05-09,EPI_FIRST_WAVE,21607.915,0.13486149971431632,340.01058600909687,2020-03-20,2020-03-16,2020-05-05
272,2.0,Thailand,THA,85.0,69625582.0,20078.16,2020-03-31,2855019.0,1.0,2021-03-04,2020-02-24,EPI_FIRST_WAVE,21400.32,0.013500784812111158,471.5908873838929,2020-03-26,2020-03-10,2020-04-03
273,2.0,Tajikistan,TJK,91.0,9321018.0,16360.45,2020-05-08,,1.0,2021-04-01,2020-01-09,EPI_FIRST_WAVE,16360.450000000003,0.09762882122961247,,2020-06-03,2020-04-18,
274,2.0,Trinidad and Tobago,TTO,132.0,1394973.0,16550.709999999995,2020-08-16,96929.0,1.0,2021-03-11,2020-07-15,EPI_FIRST_WAVE,27764.235,1.017940849034354,790.8755223219374,2020-03-23,2020-03-21,2020-05-06
275,2.0,Tunisia,TUN,8559.0,11694719.0,20664.3,2020-04-01,,1.0,2021-03-23,2020-04-01,EPI_FIRST_WAVE,22677.24,7.535024997180352,,2020-03-20,2020-03-13,
276,5.0,Turkey,TUR,4669.0,83429615.0,6912.655000000003,2020-03-22,,1.0,2020-06-07,2020-01-09,EPI_THIRD_WAVE,26029.260000000002,3.780072579742817,4624.0243347641,2020-03-21,2020-03-16,2020-03-31
277,5.0,Turkey,TUR,20541.0,83429615.0,14533.61,2020-06-08,26489903.0,2.0,2021-01-26,2020-06-07,EPI_THIRD_WAVE,26029.260000000002,3.780072579742817,4624.0243347641,2020-03-21,2020-03-16,2020-03-31
278,5.0,Turkey,TUR,6327.0,83429615.0,4582.995000000001,2021-01-27,,3.0,2021-04-01,2021-01-26,EPI_THIRD_WAVE,26029.260000000002,3.780072579742817,4624.0243347641,2020-03-21,2020-03-16,2020-03-31
279,2.0,Uganda,UGA,334.0,44269594.0,17242.64,2020-08-14,739912.6883116884,1.0,2021-03-18,2020-06-21,EPI_FIRST_WAVE,26830.74,0.07567270664375192,213.54250504307765,2020-03-25,2020-03-18,2020-04-30
280,3.0,Ukraine,UKR,23516.0,44385155.0,21589.994999999995,2020-03-30,,1.0,2021-02-06,2020-01-09,EPI_SECOND_WAVE,24738.28,7.490342210137602,1829.4634771468072,2020-03-16,2020-03-12,2020-04-17
281,3.0,Ukraine,UKR,9730.0,44385155.0,3148.2850000000003,2021-02-07,,2.0,2021-04-01,2021-02-06,EPI_SECOND_WAVE,24738.28,7.490342210137602,1829.4634771468072,2020-03-16,2020-03-12,2020-04-17
282,1.0,Uruguay,URY,943.0,3461734.0,18633.25,2020-04-21,,1.0,2021-04-01,2020-04-21,EPI_FIRST_WAVE,21081.35,2.752955599708123,3964.336947899521,2020-03-27,2020-03-13,2020-03-31
283,4.0,United States,USA,106170.0,328239523.0,6337.019999999999,2020-03-05,20799932.20689655,1.0,2020-06-03,2020-01-09,EPI_SECOND_WAVE,24755.579999999998,16.723823961930385,11697.367108347888,2020-03-19,2020-03-19,2020-03-21
284,4.0,United States,USA,433745.0,328239523.0,17807.4,2020-06-04,350504143.0,2.0,2021-03-21,2020-06-03,EPI_SECOND_WAVE,24755.579999999998,16.723823961930385,11697.367108347888,2020-03-19,2020-03-19,2020-03-21
285,4.0,Uzbekistan,UZB,440.0,33580650.0,14591.239999999998,2020-05-04,,1.0,2020-09-22,2020-01-09,EPI_SECOND_WAVE,22062.87,0.18760804213140603,,2020-03-16,2020-03-16,
286,4.0,Uzbekistan,UZB,261.0,33580650.0,2391.6549999999997,2020-08-09,,2.0,2020-09-22,2020-08-07,EPI_SECOND_WAVE,22062.87,0.18760804213140603,,2020-03-16,2020-03-16,
287,3.0,Venezuela,VEN,1052.0,28515829.0,25640.03,2020-04-22,,1.0,2021-01-09,2020-01-09,EPI_SECOND_WAVE,32727.42,0.5572343697249692,,2020-03-16,2020-03-12,
288,3.0,Venezuela,VEN,537.0,28515829.0,7087.39,2021-01-12,,2.0,2021-04-01,2021-01-09,EPI_SECOND_WAVE,32727.42,0.5572343697249692,,2020-03-16,2020-03-12,
289,1.0,Vietnam,VNM,25.0,96462106.0,14554.219999999998,2020-08-07,696808.3333333334,1.0,2021-04-01,2020-08-07,EPI_FIRST_WAVE,26210.769999999997,0.0036283678069396496,130.39213553973204,2020-03-26,2020-02-08,2020-04-07
290,1.0,Yemen,YEM,879.0,29161922.0,10501.810000000001,2020-05-12,,1.0,2021-04-01,2020-05-12,EPI_FIRST_WAVE,12948.54,0.30484959118949706,,,2020-03-17,
291,4.0,South Africa,ZAF,16734.0,58558270.0,15658.885,2020-04-06,4209038.857142857,1.0,2020-10-01,2020-01-09,EPI_SECOND_WAVE,24680.594999999998,9.024515239265094,1687.0969719563095,2020-03-26,2020-03-16,2020-04-07
292,4.0,South Africa,ZAF,33944.0,58558270.0,7866.109999999999,2020-10-02,5060073.0,2.0,2021-03-08,2020-10-01,EPI_SECOND_WAVE,24680.594999999998,9.024515239265094,1687.0969719563095,2020-03-26,2020-03-16,2020-04-07
293,4.0,Zambia,ZMB,356.0,17861030.0,11571.909999999996,2020-06-09,421659.0,1.0,2020-12-03,2020-04-10,EPI_SECOND_WAVE,17944.425,0.6763327758813461,700.9618146321909,2020-04-15,2020-04-15,2020-05-18
294,4.0,Zambia,ZMB,851.0,17861030.0,5023.809999999999,2020-12-14,,2.0,2021-04-01,2020-12-03,EPI_SECOND_WAVE,17944.425,0.6763327758813461,700.9618146321909,2020-04-15,2020-04-15,2020-05-18
295,4.0,Zimbabwe,ZWE,224.0,14645468.0,11576.07,2020-07-10,112267.0,1.0,2020-10-04,2020-05-09,EPI_SECOND_WAVE,29003.585,1.0399121421043014,298.5858833599582,2020-03-27,2020-03-17,2020-05-21
296,4.0,Zimbabwe,ZWE,1295.0,14645468.0,12883.795000000002,2020-10-27,,2.0,2021-04-01,2020-10-04,EPI_SECOND_WAVE,29003.585,1.0399121421043014,298.5858833599582,2020-03-27,2020-03-17,2020-05-21
